DATE;JOUEUR;ACTION;ITEM;QUANTITE;PRIX_TOTAL;DEVISE;PROPRIETAIRE_SHOP;COORDONNEES
2026-04-01 20:51:21;TheLionVIII;ACHAT;§8§lClaim Module §f- §5T8;1;2500000;$;ADMIN_SHOP;-42,76,66
2026-04-01 21:11:04;githanoz;ACHAT;§8§lClaim Module §f- §5T1;1;25000;$;ADMIN_SHOP;-42,76,73
